cell number,FTC,FTC_simple
C172,5.1,5.0
C086,3.0,3.0
C188,4.1,4.0
C189,3.1,3.0
C107,3.0,3.0
C174,5.1,5.0
C179,5.1,5.0
C101,1.0,1.0
C156,2.1,2.0
C155,4.1,4.0
C132,0.0,0.0
C057,1.0,1.0
C158,4.1,4.0
C175,5.1,5.0
C053,1.1,1.0
C176,3.0,3.0
C129,0.0,0.0
C119,5.1,5.0
C013,4.1,4.0
C115,5.1,5.0
C016,3.0,3.0
C014,5.1,5.0
C110,5.1,5.0
C196,0.0,0.0
C195,0.0,0.0
C194,0.0,0.0
C192,4.0,4.0
C191,5.1,5.0
C098,5.1,5.0
C099,5.1,5.0
C055,2.1,2.0
C116,4.0,4.0
C168,4.1,4.0
C130,0.0,0.0
C063,2.0,2.0
C004,5.1,5.0
C061,5.1,5.0
C060,5.0,5.0
C133,3.1,3.0
C003,1.0,1.0
C169,5.1,5.0
C166,5.1,5.0
C167,5.1,5.0
C042,2.0,2.0
C045,2.0,2.0
C044,1.0,1.0
C046,2.1,2.0
C165,5.1,5.0
C111,5.1,5.0
C028,2.0,2.0
C105,2.0,2.0
C024,4.0,4.0
C100,5.1,5.0
C022,5.1,5.0
C124,5.1,5.0
C125,4.1,4.0
