"","iPSC","NCX_EarlyFetal","NCX_MidFetal","NCX_LateFetal","NCX_Infant","NCX_Child","NCX_Teens","NCX_Adult","Symbol","Dir"
"ENSG00000272398.5",9.51514116153416,8.28214775601176,8.34634767195487,6.76707104444376,4.82660994020017,2.29773119086181,2.22743053279179,1.82720772015323,"CD24","Down"
"ENSG00000124766.6",5.38987824020069,8.81388682933417,7.23898376287897,5.10307122224624,3.4777811120656,2.73897761952135,1.96579795370977,1.40460822721141,"SOX4","Down"
"ENSG00000158164.6",5.45593785841608,7.11467213785445,6.4902188983307,4.42246009858968,2.45190200633603,0.927696780271732,0.435433773269174,0.301783804062308,"TMSB15A","Down"
"ENSG00000137285.9",7.2161888537305,9.98480183784423,10.0383465489941,8.52408351133324,6.96725841459899,6.48586424648575,5.31590662171239,4.89792409671391,"TUBB2B","Down"
"ENSG00000065978.18",8.9964093172119,10.0429013804542,9.81452695039082,9.09520329789468,7.25055828139996,6.35039172756063,5.63009446809585,5.37306277902147,"YBX1","Down"
"ENSG00000187840.4",5.78934243970819,5.60782645334193,4.970884189636,4.41157098334427,2.61291207893262,2.1548676638495,1.57720688353207,1.39395900061086,"EIF4EBP1","Down"
"ENSG00000237550.5",7.90316233526572,7.75243277976334,7.07164641545143,7.39332315956665,5.58772168692331,5.78237959061639,4.83941310078352,4.15176688945339,"RPL9P9","Down"
"ENSG00000213866.3",3.95314789232599,4.96698163611664,4.63711378576907,3.62176284930904,2.30054321971223,1.32062627435364,1.24960829462204,1.01009422341797,"YBX1P10","Down"
"ENSG00000213722.8",4.47486305094121,6.643024087352,6.51028754341275,5.47439840502341,3.61487530102375,3.44949846685267,2.93708551909174,2.72068446019813,"DDAH2","Down"
"ENSG00000189343.7",6.44048101127976,4.46780959541128,4.29772715009768,5.04869864651825,3.2602374487246,2.41352906600054,1.99830089835585,1.58697067564603,"RPS2P46","Down"
"ENSG00000173457.10",6.19099235289695,6.37556591963286,6.15813236797268,5.5187115650037,4.02946220897519,3.7355107859421,2.99259567524503,2.91773948767702,"PPP1R14B","Down"
"ENSG00000179967.11",5.38653502462559,5.90337817238615,5.71137740228569,4.72857900743458,3.16108624060756,3.13383592952093,2.41139848268115,2.39323543736608,"PPP1R14BP3","Down"
"ENSG00000213442.5",6.31948511611915,7.09949345278535,6.78606176335636,7.05102082143692,5.15984023673649,4.7156359098233,4.11467162574743,3.87206229049469,"RPL18AP3","Down"
"ENSG00000174721.9",4.07682497654557,4.35303023506942,4.72312722506434,3.31290222905824,3.02470442989957,2.04947028425084,1.56230037357649,1.44316789182823,"FGFBP3","Down"
"ENSG00000140988.15",9.17408768070175,8.64119935177936,8.44384446515534,9.5742610899268,7.27581610222607,6.48305093260377,5.94260378658808,5.82019989215658,"RPS2","Down"
"ENSG00000236552.2",7.1720284700215,6.4883990021714,5.78465009281147,6.66081481469647,4.36478724710327,4.05227832242141,3.44994152343748,3.3279171499867,"RPL13AP5","Down"
"ENSG00000229119.3",4.94011171329409,4.46799452423426,3.90846413887091,4.4011836444308,2.47798246410731,2.16079589656915,1.69382899728125,1.4249260728024,"","Down"
"ENSG00000115457.9",5.19317693185318,6.0583732524672,5.44627468629932,5.20442089150828,3.39217760659634,3.33848093150779,2.47906117086853,2.59244424332323,"IGFBP2","Down"
"ENSG00000105372.6",7.29985429052657,7.9241629135438,7.56606628563146,8.04190848752089,6.0810012946572,5.76394199026231,5.08885448673907,4.91170861432635,"RPS19","Down"
"ENSG00000105640.12",7.38712171220235,8.47980502193732,8.0951575668082,8.30631124928789,6.41705533044447,6.22766778698211,5.36638742042783,5.33655934904749,"RPL18A","Down"
"ENSG00000117152.13",0.245189264823767,0.226566323588648,0.468206232996282,1.90083785062227,5.54213552810816,5.54687316454777,6.85244036103285,7.13023424268378,"RGS4","Up"
"ENSG00000070808.15",0.0856856700958071,1.56798760762873,2.4997485592243,4.99035782902786,6.49583677140847,6.76547861845152,7.96830055157764,8.30208173586879,"CAMK2A","Up"
"ENSG00000135426.15",0.0146088801291979,0.00718448721937997,0.030146619499546,0.0502137223274106,2.23808379471707,3.266591174769,4.9092042278901,5.40165127307055,"TESPA1","Up"
"ENSG00000105711.10",0.715366547719136,0.123186841361568,0.393038122436854,1.14324567339552,2.1858307530669,3.33983869331546,4.51810381313022,5.43183225289649,"SCN1B","Up"
"ENSG00000168481.8",0.0101742655050974,0.0599039948344215,0.705018308480378,1.89586095496652,2.72641630789262,4.3158382030923,5.33674332096042,5.83938362888843,"LGI3","Up"
"ENSG00000136541.14",0.285219852413234,0.0363814218872354,0.0481625734536531,0.101228006946837,2.53209509512178,4.93410885626668,5.83800478621048,5.79026737712874,"ERMN","Up"
"ENSG00000105695.14",0.108593674067861,0.0581287503737737,0.0597075388001169,0.594939293297386,4.27725901721878,5.44681749371719,6.1526306383434,6.1937133121551,"MAG","Up"
"ENSG00000139190.16",2.42402959065563,0.447696831922513,0.891332658121909,1.6442158645109,1.8321846458421,2.51548262210943,4.04726434113403,5.22735162589436,"VAMP1","Up"
"ENSG00000187730.7",0.607422174281845,0.6387200987776,1.11411282188191,3.39553894499123,4.83130119831053,5.12921200559366,6.00224633675614,6.42674615136467,"GABRD","Up"
"ENSG00000100285.9",2.0100159374838,1.38950858177399,1.47929243183698,1.55359688574369,2.68432518250664,2.83041254712713,4.62646991360302,5.65156048520996,"NEFH","Up"
"ENSG00000204655.11",0.193612802114536,0.0510751555574185,0.0758526166935617,0.462811544872723,2.85416037345222,4.43610735512586,5.29362966502703,5.37919140390264,"MOG","Up"
"ENSG00000197430.10",0.0682005111670006,0.00165135893809086,0.00329794476207314,0.0253247165447808,1.46065160967932,4.21463650968596,5.05647524062873,4.98305619307155,"OPALIN","Up"
"ENSG00000127824.13",2.75613771281488,0.369823133148656,0.83219144660148,2.73406631336321,4.44393081959874,4.92142881624054,5.88450055860399,6.15042394896427,"TUBA4A","Up"
"ENSG00000124134.8",0.561062699238244,0.32530847846342,1.02246944239222,1.22804143815252,1.21871847083144,1.54466406239758,3.36753927775692,4.46724364033629,"KCNS1","Up"
"ENSG00000172508.10",0.326106465842072,0.0422019214594493,0.361332665209413,0.7085268247277,1.67284912817339,3.27418162081132,4.53235195558834,4.82035343539145,"CARNS1","Up"
"ENSG00000091513.14",0.126809657338796,0.309913011292437,0.86203944621063,1.15850688994205,3.16707344581806,4.52242207152667,5.63523054781646,5.60702654089339,"TF","Up"
"ENSG00000173267.13",2.0788752144218,0.908990583535826,1.25551917603962,3.36670568395958,5.42665754386227,5.92468618121549,6.25953924181733,6.67489069428997,"SNCG","Up"
"ENSG00000108797.11",1.90160475078567,0.495727525524865,1.68743392994443,2.49845475600918,3.27875671690335,3.46239222880966,4.87800583067532,5.62237786245913,"CNTNAP1","Up"
"ENSG00000132639.12",0.240739913733128,6.18304057370024,5.75695584330572,5.29772581973433,7.56409809719388,7.46374311503512,9.1345546986214,9.66994079442058,"SNAP25","Up"
"ENSG00000157782.9",0.584872303774363,1.41239815484997,1.56422646522865,2.55480630780851,3.5337619041013,4.51112496908262,5.38370259782322,5.97105599362526,"CABP1","Up"
